date,open,high,low,close
04092024 061500,57724.00000000,57853.00000000,57688.00000000,57812.00000000
04092024 062000,57812.00000000,57830.00000000,57597.41000000,57606.01000000
04092024 062500,57606.01000000,57606.01000000,57100.00000000,57140.02000000
04092024 063000,57140.02000000,57161.06000000,55646.01000000,55657.13000000
04092024 063500,55657.14000000,56210.00000000,55606.00000000,56040.01000000
04092024 064000,56040.00000000,56219.67000000,55891.10000000,56202.01000000
04092024 064500,56202.01000000,56262.11000000,56043.90000000,56121.11000000
04092024 065000,56121.11000000,56388.00000000,56120.00000000,56376.00000000
04092024 065500,56376.00000000,56521.00000000,56376.00000000,56419.98000000
04092024 070000,56419.98000000,56550.00000000,56367.00000000,56539.12000000
04092024 070500,56539.11000000,56688.00000000,56539.11000000,56684.00000000
04092024 071000,56684.00000000,56911.09000000,56678.43000000,56805.62000000
04092024 071500,56805.61000000,56910.01000000,56775.00000000,56882.11000000
04092024 072000,56882.11000000,56923.65000000,56784.00000000,56814.47000000
04092024 072500,56814.47000000,56846.00000000,56756.00000000,56784.01000000
04092024 073000,56784.01000000,56823.00000000,56581.10000000,56581.10000000
04092024 073500,56581.11000000,56730.00000000,56520.35000000,56632.00000000
04092024 074000,56632.01000000,56704.00000000,56607.36000000,56654.01000000
04092024 074500,56654.00000000,56768.00000000,56639.71000000,56647.00000000
04092024 075000,56647.00000000,56727.00000000,56605.00000000,56696.58000000
04092024 075500,56696.57000000,56745.00000000,56604.00000000,56610.01000000
04092024 080000,56610.01000000,56706.00000000,56610.00000000,56692.00000000
04092024 080500,56691.99000000,56719.80000000,56628.00000000,56708.00000000
04092024 081000,56708.00000000,56752.75000000,56703.00000000,56712.00000000
04092024 081500,56712.00000000,56767.00000000,56681.27000000,56710.02000000
04092024 082000,56710.01000000,56755.99000000,56660.16000000,56718.21000000
04092024 082500,56718.20000000,56726.43000000,56641.10000000,56648.01000000
04092024 083000,56648.01000000,56801.00000000,56618.00000000,56786.01000000
04092024 083500,56786.00000000,56792.00000000,56718.00000000,56792.00000000
04092024 084000,56792.00000000,56815.00000000,56736.37000000,56761.10000000
04092024 084500,56761.10000000,56809.00000000,56724.01000000,56809.00000000
